uid,held,held_source
2026 INSC 342,"Impugned order set aside - Arbitration clause contained in some document may be incorporated in the contract between the parties only by a specific reference to the arbitration clause - The * Author Maharashtra State Electricity Distribution Company Limited (Msedcl) & Ors. v. R Z Malpani intent of the parties to incorporate the arbitration clause has to be explicitly clear and a mere general ‘reference’ to the tender conditions would not suffice - Present is a case of ‘reference’ and not ‘incorporation’ - There is no mention of any arbitration or dispute resolution clause in the LOI itself, neither does it purport specific incorporation thereof from the tender documents - As such, the arbitration clause contained in the tender documents could not be said to have been incorporated in the LOI to evince the existence of an arbitration agreement between the parties on its conjoint reading with the tender documents - The scope of inquiry at the stage of s.11 is extremely limited and only pertains to an examination about prima facie existence of an arbitration agreement - Courts should follow the principle of ‘When in doubt, do refer’ and lean towards referring matters to arbitration when the arbitration agreement is prima facie existent - However, it is only in the rarest of rare cases where even on a prima facie view, without going into disputed facts between the parties, there appears to be no existence of arbitration agreement between the parties, the Court can reject the application for appointment of an arbitrator and reference of the parties to arbitration - The instant case is a fit case where even without going into the disputed facts and merely on a prima facie view of the matter, there is no existence of arbitration agreement - Moreover, LOI in the instant case was indicative of a preliminary document in course of the contract and was not intended to be an end-all-be-all contract between the parties, it did not create contractual obligations or legal relationship between them. [Paras 38, 39, 41, 42] Letter of Intent (LOI) - Does not, in and of itself, create a legal relationship or contractual obligations until there is a clear, unambiguous final acceptance by parties - High Court inter alia found that the offer made by the Respondent in response to the Tender was accepted by the LOI which resulted in a duly concluded contract and; existence of arbitration agreement can be discerned from correspondence between the parties: Held: Finding of the High Court that Appellant in its reply to the Respondent’s arbitration notice ‘did not question the formation of arbitration agreement on any ground other than the fact that the project did not proceed further’ is prima facie erroneous and is set aside - Therefore, there is no admission of any concluded contract, 88",headnote
2026 INSC 346,"No - Marriage between the parties was solemnized in the year 2002 and they have admittedly been living separately since 2018 - Matrimonial bond has broken down beyond repair and there is no possibility of resuming cohabitation - On facts, the conduct attributed to the appellant amounted to cruelty and she had withdrawn from the society of the respondent without reasonable cause - Findings recorded by Courts below are findings of fact based on appreciation of evidence - No perversity has been demonstrated so as to warrant any interference - However, respondent to pay a sum of Rs.10,000/- per month to the appellant towards maintenance, as opposed to a lump sum of Rs.6,00,000/- as directed by the Family Court at the time of granting divorce. [Paras 7-9, 11]",headnote
2026 INSC 348,"No - Findings recorded by the trial Court were pure findings of fact based on proper appreciation of evidence - No perversity, illegality, or jurisdictional error was demonstrated - High Court transgressed the limits of its revisional jurisdiction by reassessing the evidence and substituting its own conclusions - Therefore, impugned interference u/s.46 is unsustainable in law as it effectively converted revisional jurisdiction into appellate jurisdiction - Impugned order set aside - Order of the trial Court directing eviction of the respondents, restored. [Paras 12.8, 12.9] Karnataka Rent Act, 1999 - Respondent No.1-Company, a partnership firm was a tenant under the appellant’s predecessor-landlord (since deceased) through its partner- Respondent No.4 - However, Respondent No.1 unlawfully sublet the premises and parted with possession in favour of third parties (Respondent Nos.2 and 3) who were not parties to the lease agreement, without the consent of the landlord - Landlord filed eviction petition, allowed by trial Court - High Court allowed the revision petition filed by respondents - Whether the burden of proving unlawful sub-letting lies upon the landlord, and if so, whether such burden was duly discharged in the present case: Held: The lease deed recognized only Respondent No.4 as the tenant - Respondent Nos.2 and 3 were not parties to the lease and therefore, cannot claim any independent tenancy rights - The burden of proving unlawful subletting initially lay upon the landlord, which was duly discharged by establishing exclusive possession of third parties and absence of the original tenant - The burden thereafter shifted to the respondents, who failed to rebut the presumption by adducing cogent evidence - Consequently, unlawful sub-letting stands proved. [Paras 13.6, 13.8] Karnataka Rent Act, 1999 - ss.27(2)(b)(ii) and 27(2)(p) - Sub- letting through the device of partnership - Respondents’ case rested on an alleged reconstitution of the partnership firm - Whether the alleged retirement of the original tenant-partner and continuation of business by Respondent Nos.2 and 3 constituted a mere reconstitution of partnership or amounts to unlawful sub-letting / assignment u/ss.27(2)(b)(ii) and 27(2)(p): Held: Sub-letting requires parting with legal possession, i.e., transfer of the right to exclusive possession - Mere induction or retirement of partners does not amount to sub-letting so long as the tenant retains control and legal possession - Courts are entitled to lift the veil of partnership where it is used as a device to conceal an impermissible transfer - Once exclusive possession of a third party is established, the burden shifts to the tenant to prove that the arrangement is bona fide - Thus, the determinative test is whether the original tenant continues to retain legal possession and control over the premises - Original tenant ceased to have any role in the business or the premises and Respondent Nos.",headnote
2026 INSC 35,"Impugned judgments set aside - High Court erred in the facts as well as in law in dismissing the appeal filed by the appellant and affirming the judgment of the trial Court - The factum of three extensions stands duly proved by the appellant - Also, the theory projected by the respondent that the power of attorney executed by her in favour of her brother stood revoked is ex facie untenable and contrary to the record - The affidavit (Exh. A5) executed by the defendant which was neither disputed nor denied tilts the balance in favour of the appellant which clearly establish that the respondent not only ratified the acts performed by the power of attorney holder, her brother but also expressly conveyed her no- objection to the change in management and so also the ownership of the school and the properties appurtenant thereto in favour of the appellant - Once the two facts, i.e., the publication of notice in the year 2012 for revocation of the unregistered power of attorney (Exh. A4) and the affidavit dtd.30.04.13 are cumulatively taken into account, limitation would start running from the later date because it is, at that stage, that the respondent finally refused execution of sale deed to the extent of her share in the suit property - Thus, the issue of limitation was erroneously decided by the trial Court as well as the High Court, leading to an unjustified rejection of the suit instituted by the appellant - The suit was instituted within the prescribed period of limitation, reckoned from the date of the affidavit - On facts, the issue of readiness and willingness was also wrongly decided against the appellant and in favour of the respondent - Appellant entitled to conveyance of the 1/11th share of the respondent in the plaint schedule property - Further directions issued - Limitation Act, 1963 - Kerala Education Rules, 1959 - Kerala Education Rules, 2005. [Paras 34-41]",headnote
2026 INSC 352,"The object and purpose of dearness allowance/dearness relief is to mitigate the hardship faced by salaried employees/pensioners on account of inflation - The Government Order in question increases the rate of DA by 14% and DR by 11% even though the increase is to serve a common object, which is to mitigate the hardship faced by the serving employees and pensioners on account of inflation - Indisputably, inflation hits both serving and retired employees with equal force, therefore, differentiating the two qua the rate of increase of DA and DR, has no rational nexus to the object sought to be achieved - Therefore, the High Court was justified in holding the same to be discriminatory and violative of Article 14. [Paras 25, 26] * Author Constitution of India - Art.14 - Test of reasonable classification - Burden of proof: Held: Art.14 of the Constitution forbids class legislation but permits reasonable classification which must satisfy twin tests: (1) that the classification must be founded on an intelligible differentia which distinguishes those that are grouped together from others, and (2) that differentia must have rational nexus with the object sought to be achieved by the Act - The differentia which is the basis of the classification and the object of the Act are distinct things and what is necessary is that there must be a nexus between the two - Legislative and executive action may accordingly be sustained if it satisfies the twin tests of reasonable classification and the rational principle correlated to the object sought to be achieved - The burden of proof lies on the State to affirmatively establish that these twin tests have been satisfied - The State must therefore not only establish the rational principle on which classification is founded but correlate it to the objects sought to be achieved. [Para 22] Constitution of India - Art.14 - Concept of Equality - Equality is antithetic to arbitrariness - Discussed. [Para 22]",headnote
2026 INSC 353,"The Registrar, in approving two other employees for promotion and negativing and discarding the case of the appellant though all the three cases were attended by similar circumstances, acted arbitrarily - In the same way stands the case of the appellant who was also otherwise qualified and eligible, by extending the provision for relaxation in educational qualification, to be promoted to the post of Society Manager to sail in the same boat with the said two similarly situated employees - Thus, the case of the appellant is not one that the appellant seeks parity and equality for promotion with ineligibles or that he is not fit to be promoted - While on one hand, the Division Bench of the High Court in its impugned order recorded that the Registrar was within his jurisdiction to refuse the relaxation, it specifically observed in the previous paragraph of the impugned order that at the relevant time, the discretion for granting relaxation was vested with the Board of Directors of the society and not with the Registrar - The reasoning in the impugned order amounted to a clear contradiction - The equal treatment came to be denied to the appellant to his discrimination - It is to be noted that the appellant now holds the degree of M.A. and has also successfully completed the diploma in computers - The impugned order passed by the Division Bench of the High Court is unsustainable in law. [Paras 7.1, 7.2, 8.2, 9.1, 9.3, 10]",headnote
2026 INSC 356,"Once the interim resolution professional was named by the NCLT in the admission order, s.17(1)(a) of the Code would become operative - Therefore, with effect from the date of admission in the case on hand, i.e., 18.04.2024, the management of the affairs of the corporate debtor, Ambro Asia Private Limited, stood vested in Interim Resolution Professional, and it was not open to the suspended director of the corporate debtor to file an appeal in the name of the corporate debtor, Ambro Asia Private Limited, claiming to be its director and authorized representative - The appeal as framed and filed on 24.04.2024 before the NCLAT was, therefore, wholly incompetent - It was not merely a ‘defective’ appeal as it was not maintainable in its very inception - The normal period of limitation * Author Nitendra Kumar Tomer, Suspended Director, Ambro Asia Private Limited v. Unox S.P.A. and Another prescribed u/s.61(2) is 30 days but the proviso thereto permits the NCLAT to condone the delay of up to 15 days, if sufficient cause is shown for not filing the appeal within the prescribed period of 30 days - This being the legal position, the indulgence shown by the NCLAT on 12.08.2025 completely desecrated the aforestated statutory prescription - The suspended director of the corporate debtor, could have filed an appeal against the admission order dated 18.04.2024 only within the limitation period prescribed u/s.61(2) of the Code - The misconceived appeal filed by him in the name of the corporate debtor, Ambro Asia Private Limited, professing to be its director and authorized representative, was wholly incompetent and was not an appeal with a ‘curable’ defect, which could have been attended to at a later point of time - It was, therefore, not open to the said suspended director to seek modification of the cause title in this incompetent appeal - Unfortunately, the NCLAT lost sight of this aspect and treated the wholly incompetent appeal as a merely defective one, whereby it deemed it appropriate to grant time to the suspended director to amend the memo of the appeal - Once the prescribed limitation period u/s.61(2) expired, it was not open to the suspended director to take steps to convert the incompetent appeal and maintain an appeal in his own name - The NCLAT ought not to have permitted him to do so, whereby a time-barred appeal in the name of the suspended director was presented and entertained. [Paras 6, 7, 8]",headnote
2026 INSC 358,"Unsustainable - Arbitration though is an alternate dispute resolution system, which has to be encouraged, it cannot deviate from the fundamental principle that law favours the diligent and not the indolent - For recovery of amounts, as in this case, the limitation is three years as provided in Article 18 of the Limitation Act, 1963 - The commencement of arbitration proceedings as per sub-section (2) of s.43 being the date referred in s.21, which is the date on which a request for initiation of arbitration is received by the respondent, the claim itself was hopelessly time barred, the notice having been issued after 21 years - Despite the work having concluded on 30.07.2000, the petitioner did not attempt to raise a bill or initiate the arbitration proceedings till 2022, when a notice requiring commencement of arbitration proceedings was first issued - Appellant slept over its claim for 21 years before the notice seeking arbitration was issued in 2022; an ex-facie dead claim - High Court erred insofar as finding failure on the part of the Engineer-in-Charge to determine the final amount payable, having extended the limitation - If there was such a failure on the part of the Engineer-in-Charge, it was for the contractor to have initiated arbitration then and there - Neither was notice issued State of West Bengal & Ors. v. M/s B.B.M. Enterprises for arbitration nor was a final bill raised or a request made to determine the total amount payable - Order initiating arbitration set aside. [Paras 5, 6]",headnote
2026 INSC 359,"The appellant has not been able to refer to any provision under the Kerala Act in terms of which the losses suffered by amalgamating company can be set-off against the income of the amalgamated company - The reliance on clause 14.2 of the Scheme is rejected - Further, the High Court recorded that the loss of the amalgamating company pertained to a period beyond 8 years, hence, in terms of s.12 of the Kerala Act the appellant will not be entitled to any set-off - It is a case wherein the appellant had lost in all fora - To challenge the aforesaid findings of fact recorded by the High Court in the impugned order, no specific ground has been raised in the petitions filed before this * Author Aspinwall and Co. Ltd. v. Inspecting Assistant Commissioner Court - This Court does not find any merit in the present appeals. [Paras 14, 15] Kerala Agricultural Income Tax Act, 1991 - ss.12, 54 - Income Tax, 1961 - s.72A - Companies Act, 1956 - Whether the judgment in Dalmia Power Ltd.’s case covers the case of the appellant: Held: The facts in the present case are distinguishable - Neither there is any statutory requirement for issuing notice to the State Government before any scheme of amalgamation is approved by the Court under the 1956 Act nor such notice was issued - Hence, to state that the judgment in Dalmia Power Ltd.’s case covers the case of the appellant, is misconceived and deserves to be rejected. [Para 13] Companies Act, 1956 - s.394-A - Scope of - Discussed: Held: s.394A of 1956 Act makes it mandatory on the Tribunal to issue notice in every application filed u/ss. 391 or 394 to the Central Government and any objections raised are to be considered - s.394 of the aforesaid Act talks about amalgamation of the companies - The Ministry of Corporate Affairs, Government of India, had issued a Circular dated 15.01.2014 bearing F.No.2/1/2014 providing that while responding to the notices issued to the Government u/s. 394-A, the Regional Director shall invite specific comments from the Income Tax Department within 15 days - If no response is received from the Income Tax Department during the aforesaid period, it may be presumed that the Income Tax Department has no objection to the action proposed u/ss.391 or 394, as the case may be - It is in the light of the aforesaid provision and the circular that the comments of the Income Tax Department are mandatory. [Para12] Kerala Agricultural Income Tax Act, 1991 - ss.2(7), 2(20), 3, 48, 54, 60 - Scope of - Discussed. [Paras 9-12]",headnote
2026 INSC 368,"Not only have the parties expressly agreed upon Srinagar as seat of arbitration, but even the surrounding circumstances reinforce this - Contracts executed in the State of Jammu & Kashmir and the works were to be carried out within the said State - Arbitration proceedings were initiated in the State of Jammu and Kashmir and the High Court had appointed the arbitrator - These factors as well as the ‘closest and most intimate connection test’ unmistakably anchors the arbitration at Srinagar - Submission that arbitral award records New Delhi as place of arbitration and is thus, determinative of the seat cannot be accepted - Seat of arbitration is governed by the agreement of the parties and not by any stray recital in the award - Once the seat of arbitration is fixed, it remains immutable unless altered by an express agreement - In the absence of any agreement, the designation of Srinagar as seat of the arbitration continues to hold the field - High Court ought to have appreciated that Srinagar was consciously designated as the seat of arbitration - Once such a designation was made, the legal consequence that inexorably follows is that courts at Srinagar alone would have supervisory jurisdiction over the arbitral proceeding - Mere fact that arbitral tribunal for reasons of convenience, conducted proceeding at New Delhi or rendered the award at that place does not and cannot, alter the juridical seat of arbitration - Approach adopted by the High Court, if upheld, would have the effect of rendering the concept of juridical seat otiose, and would introduce uncertainty in arbitration proceeding by allowing the place of hearing or the place where the award is signed to determine the jurisdiction - Such a consequence would be contrary to principles of party autonomy and legal certainty - Impugned order cannot be sustained - Court at Srinagar being the court of seat of arbitration, alone possesses the jurisdiction to entertain and decide the challenge to the arbitral award - Impugned order quashed and set aside - Proceeding u/s.34 restored. [Paras 19-24] Arbitration and Conciliation Act, 1996 - s.20 - Principles governing the distinction between the seat and venue of the arbitration, and the jurisdictional consequences: Held: Seat of arbitration constitutes the juridical home or legal place of arbitration - It determines the curial law governing the arbitral process and identifies the Court having supervisory control over the arbitration - Once the seat is designated by agreement of the parties, the courts of that place alone have exclusive jurisdiction to entertain all proceedings arising out of the arbitration, including challenges to the award - Venue is merely a geographical location chosen for convenience for holding hearings, examination of witnesses, or meetings of the arbitral tribunal - It does not confer jurisdiction and does not, by itself, alter or determine the seat - Arbitral tribunal is free to conduct proceedings at locations different from the seat without affecting the juridical seat - Mere fact that arbitral proceedings are conducted or the award is rendered at a particular place does not confer jurisdiction on courts of that place if it is different from the designated seat - Seat remains fixed unless expressly altered by agreement of the parties - Where the seat is not expressly designated, courts determine it by applying the closest and most intimate connection test, identifying the place most closely connected with the arbitration (based on the Naviera Amazonica principle); and in appropriate cases, construing the venue as the seat where the agreement and surrounding circumstances indicate such intention (as reflected in the Shashoua principle) - Intention of the parties, as discerned from the arbitration agreement and surrounding circumstances, is the paramount factor in determining the seat - Once such intention is expressed-either expressly or by necessary implication-it must be given full effect by Courts. [Para 18]",headnote
2026 INSC 372,"Order of High Court set aside - Plea u/Or.II r.2 cannot be a basis or a ground for rejection of the plaint - In a case where Or.II r.2 applies, there is no legal bar to filing a suit but the reliefs sought for or the claims made therein cannot be granted if the conditions mentioned therein apply - For arriving at such a conclusion, there has to be evidence let in in order to determine whether the provision of Or.II r.2 would apply to the suit or not - On the other hand, in the * Author S. Valliammai & Others v. S. Ramanathan & Another case of Or.VII r.11(d), if there is express or implied bar for filing of a suit under any law then on a meaningful reading of the plaint, it has to be rejected - The suit need not proceed to record evidence on merits but only to the extent where evidence is necessary to be recorded for the purpose of rejection of the plaint such as on the ground of the suit being bit by law of limitation or on the principle of res judicata - Thus, the bar created by any law to the filing of a suit is different from a plaintiff suing for certain claims or reliefs which he could not have claimed or sued having regard to Or.II r.2 - Therefore, the application of Or.II r.2 cannot be construed to be a ground for rejection of the plaint u/Or.VII r.11(d) - In the present case, the approach of the High Court in analysing the averments made in the second suit as if it is evidence, in juxtaposition with the averments made in the first suit was improper - Order of the trial court in the second suit restored along with the plaint. [Paras 5.9, 5.21, 8.1, 9] Code of Civil Procedure, 1908 - Or.VII r.11(d); Or.II r.2 - Two suits, if distinct and separate - Distinctions to be analysed while analysing the plaints in the first/former suit and a subsequent suit: Held: On a conjoint reading of Or.II r.2 with Or.VII r.11(d), it emerges that the plea under Or.II r.2 cannot be a basis or a ground for rejection of the plaint - It is for the defendant to establish by way of evidence, the bar of the subsequent suit u Or.II r.2 filed by the very same plaintiff - In such an event, on a comparative analysis of the plaint filed in the first suit and the plaint filed in the second suit, if the Court comes to the conclusion that the second suit was filed on an identical cause of action which led to the filing of the first suit and there was an omission to make the claim or to reserve the reliefs to be claimed in the first suit in a subsequent suit, then the bar u/Or.II r.2 would apply to the subsequent suit or the second suit - Then the claims or reliefs not maintainable would be rejected as the plaintiff could not have sued for those reliefs by filing a second suit, although technically, the filing of such a suit was not barred by any law - On the other hand, if the cause of action for filing the second suit is totally distinct from the cause of action from filing the first suit and the reliefs claimed are distinct, subject-matter of the suits are different and if the parties to the suit are also different then in such a case, the plea u/Or.II r.2 would not arise at all. [Para 7] 240",headnote
2026 INSC 38,"Direction issued by the High Court mandating the State to consider the candidature of respondents for appointment as Ayurvedic Staff Nurse in a Medical College, Hospital or Dispensary under the State Government, cannot be legally sustained - Perusal of the advertisement inviting application for the course of Ayurvedic Nursing Training, shows that no promise had been made for * Author appointment - Clause 9 in the advertisement clearly stipulated that only in case the candidate is appointed after training, he/she shall compulsorily serve the government for at least 5 years - Bond was only meant for the candidate selected for the government service - Principle of legitimate expectation cannot be applied as there was a change in policy and scheme of government - Existing facts and circumstances underwent a substantial shift from the year 2012, when the private institutions were granted permission to conduct the Ayurvedic Nursing Training Course, by way of government order - Candidates pursuing the said course had grown exponentially and all such candidates could not be recruited after training due to limited vacancies - Respondent-candidates failed to identify any specific clause in the advertisements for admission to the course that guarantees right to appointment upon admission - While advertisements for private colleges explicitly state that admission does not grant a right to appointment, the absence of this specific disclaimer in government college advertisements does not mean a right to appointment is automatically implied - Past practice was merely on the basis of the situation at the relevant time when there were only 20 seats for imparting education for Ayurvedic Nursing Training Course and only one government institution was authorized to conduct the course - Since there were more vacancies, most of them may have been adjusted - There were no appointments made by following the earlier system available - There was change in the process of selection as well, earlier the selection was being made by UPPSC, now it was being made by UPSSSC - After the change in policy of the government permitting private institutions to impart training for Ayurvedic Nursing Training Course, the availability of candidates was much more as compared to the earlier regime - Available vacancies with the government being less, the normal rule provides for a selection process to be followed so that the best available candidate is selected - Thus, no violation of Art. 14 as, there was no discrimination against the respondents or that the action of the State was arbitrary - Essence of discrimination is the unequal treatment of equals; however, the State clearly established that no appointments were made under the old system for any candidate admitted after the 2010-11 session - Since no batchmates of the respondent, nor any other candidates passing out after the first private college in 2016, given direct appointments, no instance of similarly situated person being State of Uttar Pradesh and Ors. v. Bhawana Mishra treated preferentially - Plea of discrimination factually and legally unsustainable - Thus, the impugned judgment of the High Court set aside. [Paras 19-21, 26-28]",headnote
2026 INSC 4,"High Court erred in setting aside the award on the basis that the appointment of the Tribunal was only to adjudicate dispute No.1 - On facts, conduct of the respondent precluded it from relying on the mandate of clause 24, 24.1 and 25 to contend that the appellant was foreclosed from raising the entire dispute * Author before the Arbitrator - The party at fault cannot be permitted to take advantage of the same - High Court also erred in holding that the non-issuance of notice u/s.21, A&C Act by the appellant with regard to dispute no.2 to 4 was fatal for it to pursue its claim before the arbitrator - There is no mandatory prerequisite for issuance of a s.21 notice prior to the commencement of Arbitration - Also, High Court erred in holding that the Arbitral Tribunal exceeded its jurisdiction in deciding the entire dispute - Arbitration Clause 25.3 is widely worded and any dispute or difference arising between the parties relating to any matter arising out of or concerned with the agreement are to be settled in accordance with the A&C Act by the Arbitral Tribunal - Judgment of High Court set aside - Award of the arbitrator upheld in its entirety - Contract Act, 1872 - s.28(b). [Paras 14-16, 18, 22] Arbitration and Conciliation Act, 1996 - s. 21 - Object of - Was the non-issuance of a notice u/s.21 by the appellant fatal for it to pursue its claim before the Arbitrator: Held: No - The object of s.21 is only for the purpose of commencement of arbitral proceedings - s.21 is concerned only with determining the commencement of the dispute for the purpose of reckoning limitation - There is no mandatory prerequisite for issuance of a s.21 notice prior to the commencement of Arbitration - Issuance of a s.21 notice may come to the aid of parties and the arbitrator in determining the limitation for the claim - Failure to issue a s.21 notice would not be fatal to a party in Arbitration if the claim is otherwise valid and the disputes arbitrable - High Court erred in holding that the non-issuance of notice u/s.21 by the appellant with regard to dispute no.2 to 4 was fatal for it to pursue its claim before the arbitrator. [Paras 14, 16] Arbitration and Conciliation Act, 1996 - s.2(9), 23: Held: Once the Arbitral Tribunal is constituted claims, defence and, counter claims are filed - Party which normally files the claim first is, for convenience, referred to as the ‘claimant’ and the party which responds is called the ‘respondent’ - The said respondent is also along with the defence statement entitled to file its counter claim - Hence, to contend that the appellant cannot be referred to as a claimant because no notice u/s.21 has been issued is completely untenable. [Para 21] M/s Bhagheeratha Engineering Ltd. v. State of Kerala",headnote
2026 INSC 43,"Vehicles used by the appellants not chargeable to tax - Vehicles used by the appellants are vehicles of special types- construction equipment vehicles which are suitable and are meant for use for operation and use within the industrial area/factory premises/ defined enclosed premises and are not meant for use on roads or public roads - They are off-road equipments and as such stand excluded not only from the purview of the “motor vehicle” as defined u/s.2(28) of the Act but also from tax as Entry 57 of List II of the Seventh Schedule of the Constitution only authorizes taxation of vehicles suitable for use on roads only - They are not * Author even chargeable to road tax in view of Schedule I to s.3(1) of the Gujarat Tax Act which do not prescribe any tax for such kind of vehicles i.e., construction equipment vehicles - However, if any such kind of vehicles are found to be used on roads, they would not be free from the rigors of s.2(28) of the Act and s.3 of the Gujarat Tax Act and also be subject to proceedings for seizure and penalty - Impugned judgments and orders holding that the vehicles/equipment used by the appellants particularly Dumpers were “motor vehicles” under the Act and chargeable to tax, set aside - Constitution of India - Entry 57 of List II of the Seventh Schedule. [Paras 55, 56]",headnote
2026 INSC 443,"The 1986 Act with 2019 Act, by expressly providing for legal representative for complainant/consumer, the legislative intent is clear, that the claim of the complainant shall not automatically perish upon his death and shall survive through his legal heirs - Legal representative of the deceased can institute a fresh suit or be sued afresh in terms of the 1855 Act or in terms of s.306 - Continuation of suit by or against the legal representative of the deceased has to be in terms of s.306 (substantive law) - Continuation of ‘right to sue’ u/Ord.XXII r.2 r/w r.4 is to be seen on the date of death - Generally, all rights and liabilities to maintain a suit are carried to the legal representative u/s.306 - However, when adjudicating claims under 1st exception to s.306, personal injury claims abate, while claims for or against the estate of the deceased survive - In view thereof, death of the alleged medically negligent doctor, his/her legal heirs can be impleaded and brought on record - Extent of liability will be determined based on the pleadings and evidence presented - Complainant had succeeded before the District Forum and was awarded compensation - However, when taken in appeal by doctor, the State Commission allowed the same and set-aside the award - Aggrieved, the complainant preferred revision before National Commission, pending which, the doctor passed away - As borne from records, ‘right to sue’ if any subsists qua claims against the estate on the death of the opposite party in terms of s.306 r/w Ord. XXII rr.2 and 4 - In order to establish the claims, the National Commission duty bound to adjudicate the negligence aspect, if any by the deceased doctor and resultantly adjudicate the surviving claims - Question as to what claim can be attributed to the accretion of the deceased defendant’s estate needs to be carefully analyzed by NCDRC, depending upon pleadings and proof brought before the Court - Claimant has the duty to first establish the negligence of the deceased doctor and the claims on the estate recoverable as per s.306 - Impugned order confuses claims attributable to estate and holds that any adjudication on merits can be recoverable from the estate of the deceased doctor - Rather, the Court has to only look at claims which are maintainable as against the estate, rather than adjudicating personal claims which have elapsed with the death of the doctor - Matter remitted to NCDRC to be adjudicated within Kumud Lall v. Suresh Chandra Roy (Dead) Through Lrs and Others the stipulated period - Impugned orders set aside. [Paras 35, 39, 40, 51, 56, 59, 64-72] Maxim - Actio personalis moritur cum persona - Explained. [Paras 25-27, 64]",headnote
2026 INSC 444,"A conjoint reading of the advertisement and the governing rules makes it evident that the relevant date for determining eligibility, including educational qualification, is the date of submission of the application - This is for the reason that the eligibility of a candidate is assessed on the basis of the particulars and documents furnished at the time of application, and there is * Author Rajasthan Public Service Commission v. Lavanshu Sankhla & Ors. no provision for subsequent supplementation or re-submission of such documents at a later stage - The Rule 12 of Rajasthan Prosecution Subordinate Service Rules, 1978 earlier contained a proviso granting exemption to candidates who had appeared or were appearing in the final year examination of the course - However, it is pertinent to note that the aforesaid proviso to Rule 12, came to be deleted by respondent no. 2-State - The legislative intent underlying such deletion is clear and unambiguous, namely, that candidates who have not acquired the requisite educational qualification as on the relevant date are not eligible to apply for the post in question - The requirement in the advertisement that a candidate must “possess” a Degree in Law (Professional) or an integrated Law degree from a recognised university necessarily excludes those candidates who are yet to acquire such qualification or who may acquire it at a future date - The prescribed eligibility condition unequivocally requires possession of the degree at the relevant point of time - The press note dated 29.11.2024 is in complete consonance with the Rajasthan Prosecution Subordinate Service Rules, 1978 and the advertisement dated 07.03.2024 and merely clarifies the position that eligibility must be determined with reference to the date of submission of the application. [Paras 18-20, 23, 25] Maxim - Aliquid prohibetur ex directo, prohibetur et per obliquum: Held: What cannot be done directly cannot be permitted to be done indirectly - The said principle embodies the rule that what is expressly prohibited by law cannot be circumvented through indirect means. [Para 21]",headnote
